    energy(eV)      sigma_a(b)
    1.300000e+08    1.126800e-05
    1.318341e+08    1.121240e-05
    1.336940e+08    1.115610e-05
    1.355802e+08    1.109890e-05
    1.374930e+08    1.104100e-05
    1.394328e+08    1.098220e-05
    1.400000e+08    1.096500e-05
    1.419751e+08    1.089870e-05
    1.439782e+08    1.083140e-05
    1.460094e+08    1.076310e-05
    1.480694e+08    1.069390e-05
    1.501584e+08    1.062380e-05
    1.522768e+08    1.055260e-05
    1.544252e+08    1.048040e-05
    1.554922e+08    1.044460e-05
    1.576859e+08    1.038040e-05
    1.599106e+08    1.031520e-05
    1.621666e+08    1.024920e-05
    1.644545e+08    1.018220e-05
    1.667747e+08    1.011430e-05
    1.691276e+08    1.004540e-05
    1.701187e+08    1.001640e-05
    1.725187e+08    9.955620e-06
    1.749527e+08    9.893970e-06
    1.774209e+08    9.831460e-06
    1.799240e+08    9.768070e-06
    1.824624e+08    9.703780e-06
    1.850366e+08    9.638580e-06
    1.876472e+08    9.572470e-06
    1.894977e+08    9.525600e-06
    1.921712e+08    9.465450e-06
    1.948824e+08    9.404450e-06
    1.976318e+08    9.342580e-06
    2.000000e+08    9.289300e-06
