    energy(eV)      sigma_t(b)
    2.005156e+06    1.593940e+00
    2.018750e+06    1.565736e+00
    2.045937e+06    1.518128e+00
    2.127500e+06    1.391366e+00
    2.154688e+06    1.342507e+00
    2.175078e+06    1.298957e+00
    2.188672e+06    1.265437e+00
    2.195469e+06    1.247547e+00
    2.209062e+06    1.205891e+00
    2.222656e+06    1.156421e+00
    2.232851e+06    1.112305e+00
    2.239649e+06    1.079202e+00
    2.246445e+06    1.042446e+00
    2.249844e+06    1.023072e+00
    2.256641e+06    9.799299e-01
    2.263437e+06    9.317865e-01
    2.270234e+06    8.780772e-01
    2.277031e+06    8.183056e-01
    2.282129e+06    7.690857e-01
    2.287227e+06    7.165659e-01
    2.292324e+06    6.601107e-01
    2.297422e+06    6.006935e-01
    2.305918e+06    4.956622e-01
    2.317813e+06    3.454774e-01
    2.322061e+06    2.946084e-01
    2.324609e+06    2.655963e-01
    2.326309e+06    2.471496e-01
    2.328008e+06    2.294982e-01
    2.329707e+06    2.127349e-01
    2.331406e+06    1.969524e-01
    2.333105e+06    1.822404e-01
    2.334805e+06    1.686841e-01
    2.336504e+06    1.563584e-01
    2.337778e+06    1.479968e-01
    2.339053e+06    1.403505e-01
    2.340327e+06    1.335553e-01
    2.341602e+06    1.275133e-01
    2.342876e+06    1.223678e-01
    2.344150e+06    1.180090e-01
    2.345000e+06    1.156060e-01
    2.346211e+06    1.128483e-01
    2.347422e+06    1.108773e-01
    2.348633e+06    1.096992e-01
    2.349844e+06    1.093132e-01
    2.351055e+06    1.097156e-01
    2.352266e+06    1.108997e-01
    2.353477e+06    1.127367e-01
    2.354158e+06    1.119624e-01
    2.354536e+06    1.109719e-01
    2.354763e+06    1.100411e-01
    2.354915e+06    1.090840e-01
    2.355066e+06    1.075738e-01
    2.355180e+06    1.056165e-01
    2.355265e+06    1.041052e-01
    2.355304e+06    1.038679e-01
    2.355350e+06    1.041969e-01
    2.355406e+06    1.053270e-01
    2.355520e+06    1.081504e-01
    2.355596e+06    1.096130e-01
    2.355747e+06    1.118098e-01
    2.355898e+06    1.135488e-01
    2.356201e+06    1.164073e-01
    2.356504e+06    1.188409e-01
    2.357109e+06    1.230327e-01
    2.358320e+06    1.281016e-01
    2.359531e+06    1.336755e-01
    2.360742e+06    1.399056e-01
    2.361953e+06    1.467669e-01
    2.363164e+06    1.542313e-01
    2.364375e+06    1.622694e-01
    2.366192e+06    1.753825e-01
    2.368008e+06    1.895149e-01
    2.369825e+06    2.048332e-01
    2.371641e+06    2.207889e-01
    2.374062e+06    2.434252e-01
    2.376484e+06    2.671977e-01
    2.380117e+06    3.046206e-01
    2.387383e+06    3.818613e-01
    2.394649e+06    4.593359e-01
    2.398281e+06    4.971014e-01
    2.403125e+06    5.453869e-01
