    energy(eV)      sigma_s(b)
    1.971172e+06    1.697028e+00
    1.977969e+06    1.670191e+00
    1.991562e+06    1.627458e+00
    2.005156e+06    1.593840e+00
    2.018750e+06    1.565636e+00
    2.045937e+06    1.518028e+00
    2.127500e+06    1.391266e+00
    2.154688e+06    1.342407e+00
    2.175078e+06    1.298857e+00
    2.188672e+06    1.265337e+00
    2.195469e+06    1.247447e+00
    2.209062e+06    1.205791e+00
    2.222656e+06    1.156322e+00
    2.232851e+06    1.112205e+00
    2.239649e+06    1.079102e+00
    2.246445e+06    1.042346e+00
    2.249844e+06    1.022972e+00
    2.256641e+06    9.798299e-01
    2.263437e+06    9.316865e-01
    2.270234e+06    8.779772e-01
    2.277031e+06    8.182056e-01
    2.282129e+06    7.689857e-01
    2.287227e+06    7.164659e-01
    2.292324e+06    6.600107e-01
    2.297422e+06    6.005935e-01
    2.305918e+06    4.955622e-01
    2.317813e+06    3.453774e-01
    2.322061e+06    2.945084e-01
    2.324609e+06    2.654963e-01
    2.326309e+06    2.470496e-01
    2.328008e+06    2.293982e-01
    2.329707e+06    2.126349e-01
    2.331406e+06    1.968524e-01
    2.333105e+06    1.821404e-01
    2.334805e+06    1.685841e-01
    2.336504e+06    1.562584e-01
    2.337778e+06    1.478968e-01
    2.339053e+06    1.402505e-01
    2.340327e+06    1.334553e-01
    2.341602e+06    1.274133e-01
    2.342876e+06    1.222678e-01
    2.344150e+06    1.179090e-01
    2.345000e+06    1.155060e-01
    2.346211e+06    1.127483e-01
    2.347422e+06    1.107773e-01
    2.348633e+06    1.095992e-01
    2.349844e+06    1.092132e-01
    2.351055e+06    1.096156e-01
    2.352266e+06    1.107997e-01
    2.353477e+06    1.126367e-01
    2.354158e+06    1.118624e-01
    2.354536e+06    1.108719e-01
    2.354763e+06    1.099411e-01
    2.354915e+06    1.089840e-01
    2.355066e+06    1.074738e-01
    2.355180e+06    1.055165e-01
    2.355265e+06    1.040052e-01
    2.355304e+06    1.037679e-01
    2.355350e+06    1.040969e-01
    2.355406e+06    1.052270e-01
    2.355520e+06    1.080504e-01
    2.355596e+06    1.095130e-01
    2.355747e+06    1.117098e-01
    2.355898e+06    1.134488e-01
    2.356201e+06    1.163073e-01
    2.356504e+06    1.187409e-01
    2.357109e+06    1.229327e-01
    2.358320e+06    1.280016e-01
    2.359531e+06    1.335755e-01
    2.360742e+06    1.398056e-01
    2.361953e+06    1.466669e-01
