0,coeff1,coeff2,coeff3,coeff4,coeff5,coeff6,coeff7,coeff8,coeff9,coeff10
590000.0,0.23798,0.0057404,-0.010178,-0.00020771,0.0,0.0,0.0,0.0,0.0,0.0
600000.0,0.22529,0.002553,-0.010365,-0.00022998,0.0,0.0,0.0,0.0,0.0,0.0
620000.0,0.20281,-0.0031266,-0.010779,-0.00028018,0.0,0.0,0.0,0.0,0.0,0.0
640000.0,0.18346,-0.0081501,-0.011251,-0.00033918,0.0,0.0,0.0,0.0,0.0,0.0
660000.0,0.16656,-0.012737,-0.011785,-0.00040873,0.0,0.0,0.0,0.0,0.0,0.0
680000.0,0.15159,-0.017025,-0.012385,-0.00049092,0.0,0.0,0.0,0.0,0.0,0.0
700000.0,0.13813,-0.021086,-0.013051,-0.00058827,0.0,0.0,0.0,0.0,0.0,0.0
720000.0,0.12585,-0.024942,-0.013787,-0.00070379,0.0,0.0,0.0,0.0,0.0,0.0
740000.0,0.11449,-0.028554,-0.014594,-0.00084114,0.0,0.0,0.0,0.0,0.0,0.0
760000.0,0.10384,-0.031895,-0.015702,-0.0010425,5.1874e-05,0.0,0.0,0.0,0.0,0.0
780000.0,0.093684,-0.034571,-0.016658,-0.0012382,6.4959e-05,0.0,0.0,0.0,0.0,0.0
800000.0,0.083866,-0.036276,-0.017663,-0.0014707,8.1278e-05,0.0,0.0,0.0,0.0,0.0
820000.0,0.074223,-0.036351,-0.018688,-0.0017456,0.00010155,0.0,0.0,0.0,0.0,0.0
840000.0,0.064606,-0.0337,-0.019676,-0.0020667,0.00012649,0.0,0.0,0.0,0.0,0.0
860000.0,0.054884,-0.026528,-0.020516,-0.0024328,0.00015658,0.0,0.0,0.0,0.0,0.0
880000.0,0.04498,-0.011974,-0.021015,-0.0028286,0.00019137,0.0,0.0,0.0,0.0,0.0
900000.0,0.03495,0.014255,-0.020843,-0.003209,0.00022817,0.0,0.0,0.0,0.0,0.0
910000.0,0.029979,0.033473,-0.020358,-0.0033646,0.00024525,0.0,0.0,0.0,0.0,0.0
920000.0,0.025141,0.057729,-0.019508,-0.0034722,0.00025945,0.0,0.0,0.0,0.0,0.0
930000.0,0.020564,0.087579,-0.018221,-0.0035058,0.00026856,0.0,0.0,0.0,0.0,0.0
940000.0,0.016412,0.12319,-0.016441,-0.0034352,0.00026981,0.0,0.0,0.0,0.0,0.0
950000.0,0.012878,0.16406,-0.014153,-0.0032297,0.00026013,0.0,0.0,0.0,0.0,0.0
960000.0,0.01015,0.20872,-0.011411,-0.0028648,0.00023671,0.0,0.0,0.0,0.0,0.0
980000.0,0.0075468,0.29872,-0.0052157,-0.0016429,0.00014338,0.0,0.0,0.0,0.0,0.0
990000.0,0.007584,0.33738,-0.0022609,-0.00083835,7.5901e-05,0.0,0.0,0.0,0.0,0.0
1000000.0,0.0082323,0.36792,0.00024583,2.5734e-05,0.0,0.0,0.0,0.0,0.0,0.0
1010000.0,0.0091742,0.38886,0.0021146,0.00088785,-8.0384e-05,0.0,0.0,0.0,0.0,0.0
1020000.0,0.010094,0.40017,0.0032577,0.0016955,-0.00015915,0.0,0.0,0.0,0.0,0.0
1030000.0,0.010739,0.40297,0.003685,0.0024136,-0.00023304,0.0,0.0,0.0,0.0,0.0
1040000.0,0.010943,0.39898,0.0034733,0.0030258,-0.00029993,0.0,0.0,0.0,0.0,0.0
1050000.0,0.010625,0.39007,0.0027308,0.0035311,-0.00035904,0.0,0.0,0.0,0.0,0.0
1060000.0,0.0097642,0.37793,0.0015687,0.0039379,-0.00041058,0.0,0.0,0.0,0.0,0.0
1070000.0,0.008382,0.36392,8.4342e-05,0.0042595,-0.0004553,0.0,0.0,0.0,0.0,0.0
1080000.0,0.0065165,0.34905,-0.0016458,0.0045105,-0.0004942,0.0,0.0,0.0,0.0,0.0
1090000.0,0.004212,0.334,-0.0035667,0.0047046,-0.00052832,0.0,0.0,0.0,0.0,0.0
1100000.0,0.0015101,0.31926,-0.0056425,0.0048539,-0.00055863,0.0,0.0,0.0,0.0,0.0
1120000.0,-0.0049504,0.29165,-0.010192,0.0050562,-0.00061105,0.0,0.0,0.0,0.0,0.0
1140000.0,-0.012663,0.26721,-0.015277,0.0051755,-0.00065652,0.0,0.0,0.0,0.0,0.0
1160000.0,-0.021499,0.246,-0.021026,0.0052471,-0.00069817,0.0,0.0,0.0,0.0,0.0
