    energy(eV)      sigma_a(b)
    1.335348e+07    1.000000e-04
    1.354187e+07    1.000000e-04
    1.373293e+07    1.000000e-04
    1.392667e+07    1.000000e-04
    1.412315e+07    1.000000e-04
    1.432240e+07    1.000000e-04
    1.452447e+07    1.000000e-04
    1.472938e+07    1.000000e-04
    1.493719e+07    1.000000e-04
    1.514792e+07    1.000000e-04
    1.536163e+07    1.000000e-04
    1.557836e+07    1.000000e-04
    1.579814e+07    1.000000e-04
    1.602102e+07    1.000000e-04
    1.624705e+07    1.000000e-04
    1.647627e+07    1.000000e-04
    1.670872e+07    1.000000e-04
    1.694445e+07    1.000000e-04
    1.718351e+07    1.000000e-04
    1.742593e+07    1.000000e-04
    1.767178e+07    1.000000e-04
    1.792110e+07    1.000000e-04
    1.817393e+07    1.000000e-04
    1.843034e+07    1.000000e-04
    1.869035e+07    1.000000e-04
    1.895404e+07    1.000000e-04
    1.922145e+07    1.000000e-04
    1.949263e+07    1.000000e-04
    1.976763e+07    1.000000e-04
    2.000000e+07    1.000000e-04
    2.000000e+07    0.000000e+00
    2.028216e+07    0.000000e+00
    2.056831e+07    0.000000e+00
    2.085849e+07    0.000000e+00
    2.115277e+07    0.000000e+00
    2.145119e+07    0.000000e+00
    2.175383e+07    0.000000e+00
    2.206074e+07    0.000000e+00
    2.237198e+07    0.000000e+00
    2.268760e+07    0.000000e+00
    2.300769e+07    0.000000e+00
    2.333228e+07    0.000000e+00
    2.366146e+07    0.000000e+00
    2.399528e+07    0.000000e+00
    2.433381e+07    0.000000e+00
    2.467712e+07    0.000000e+00
    2.502527e+07    0.000000e+00
    2.537833e+07    0.000000e+00
    2.573637e+07    0.000000e+00
    2.609946e+07    0.000000e+00
    2.646768e+07    0.000000e+00
    2.684109e+07    0.000000e+00
    2.721977e+07    0.000000e+00
    2.760379e+07    0.000000e+00
    2.799323e+07    0.000000e+00
    2.838817e+07    0.000000e+00
    2.878867e+07    0.000000e+00
    2.919483e+07    0.000000e+00
    2.960672e+07    0.000000e+00
    3.002441e+07    0.000000e+00
    3.044800e+07    0.000000e+00
    3.087757e+07    0.000000e+00
    3.131320e+07    0.000000e+00
    3.175497e+07    0.000000e+00
    3.220298e+07    0.000000e+00
    3.265730e+07    0.000000e+00
    3.311804e+07    0.000000e+00
    3.358527e+07    0.000000e+00
    3.405910e+07    0.000000e+00
    3.453961e+07    0.000000e+00
    3.502691e+07    0.000000e+00
    3.552107e+07    0.000000e+00
    3.602221e+07    0.000000e+00
    3.653042e+07    0.000000e+00
    3.704580e+07    0.000000e+00
    3.756845e+07    0.000000e+00
    3.809847e+07    0.000000e+00
    3.863597e+07    0.000000e+00
    3.918106e+07    0.000000e+00
    3.973383e+07    0.000000e+00
    4.029440e+07    0.000000e+00
    4.086288e+07    0.000000e+00
    4.143939e+07    0.000000e+00
    4.202402e+07    0.000000e+00
    4.261690e+07    0.000000e+00
    4.321815e+07    0.000000e+00
    4.382788e+07    0.000000e+00
    4.444621e+07    0.000000e+00
    4.507327e+07    0.000000e+00
    4.570917e+07    0.000000e+00
    4.635405e+07    0.000000e+00
    4.700802e+07    0.000000e+00
    4.767122e+07    0.000000e+00
    4.834377e+07    0.000000e+00
    4.902582e+07    0.000000e+00
    4.971748e+07    0.000000e+00
    5.041891e+07    0.000000e+00
    5.113023e+07    0.000000e+00
    5.185158e+07    0.000000e+00
    5.258311e+07    0.000000e+00
    5.332497e+07    0.000000e+00
    5.407729e+07    0.000000e+00
    5.484022e+07    0.000000e+00
    5.561392e+07    0.000000e+00
    5.639853e+07    0.000000e+00
    5.719421e+07    0.000000e+00
    5.800112e+07    0.000000e+00
    5.881941e+07    0.000000e+00
    5.964925e+07    0.000000e+00
    6.049079e+07    0.000000e+00
    6.134421e+07    0.000000e+00
    6.220966e+07    0.000000e+00
    6.308733e+07    0.000000e+00
    6.397738e+07    0.000000e+00
    6.487998e+07    0.000000e+00
    6.579532e+07    0.000000e+00
    6.672358e+07    0.000000e+00
    6.766493e+07    0.000000e+00
    6.861956e+07    0.000000e+00
    6.958765e+07    0.000000e+00
    7.056941e+07    0.000000e+00
    7.156502e+07    0.000000e+00
    7.257467e+07    0.000000e+00
    7.359857e+07    0.000000e+00
    7.463691e+07    0.000000e+00
    7.568991e+07    0.000000e+00
    7.675775e+07    0.000000e+00
    7.784067e+07    0.000000e+00
    7.893886e+07    0.000000e+00
    8.005254e+07    0.000000e+00
    8.118194e+07    0.000000e+00
    8.232727e+07    0.000000e+00
    8.348876e+07    0.000000e+00
    8.466664e+07    0.000000e+00
    8.586113e+07    0.000000e+00
    8.707248e+07    0.000000e+00
    8.830091e+07    0.000000e+00
    8.954668e+07    0.000000e+00
    9.081002e+07    0.000000e+00
    9.209119e+07    0.000000e+00
    9.339043e+07    0.000000e+00
    9.470800e+07    0.000000e+00
    9.604416e+07    0.000000e+00
    9.739917e+07    0.000000e+00
    9.877330e+07    0.000000e+00
    1.001668e+08    0.000000e+00
    1.015800e+08    0.000000e+00
    1.030131e+08    0.000000e+00
    1.044664e+08    0.000000e+00
    1.059403e+08    0.000000e+00
    1.074349e+08    0.000000e+00
    1.089506e+08    0.000000e+00
    1.104877e+08    0.000000e+00
    1.120465e+08    0.000000e+00
    1.136273e+08    0.000000e+00
    1.152303e+08    0.000000e+00
    1.168560e+08    0.000000e+00
    1.185046e+08    0.000000e+00
    1.201765e+08    0.000000e+00
    1.218720e+08    0.000000e+00
    1.235914e+08    0.000000e+00
    1.253351e+08    0.000000e+00
    1.271033e+08    0.000000e+00
    1.288965e+08    0.000000e+00
    1.307150e+08    0.000000e+00
    1.325592e+08    0.000000e+00
    1.344293e+08    0.000000e+00
    1.363259e+08    0.000000e+00
    1.382492e+08    0.000000e+00
    1.401996e+08    0.000000e+00
    1.421776e+08    0.000000e+00
    1.441835e+08    0.000000e+00
    1.462177e+08    0.000000e+00
    1.482805e+08    0.000000e+00
    1.503725e+08    0.000000e+00
    1.524940e+08    0.000000e+00
    1.546454e+08    0.000000e+00
    1.568272e+08    0.000000e+00
    1.590397e+08    0.000000e+00
    1.612835e+08    0.000000e+00
    1.635589e+08    0.000000e+00
    1.658664e+08    0.000000e+00
    1.682065e+08    0.000000e+00
    1.705796e+08    0.000000e+00
    1.729862e+08    0.000000e+00
    1.754267e+08    0.000000e+00
    1.779016e+08    0.000000e+00
    1.804115e+08    0.000000e+00
    1.829568e+08    0.000000e+00
    1.855380e+08    0.000000e+00
    1.881556e+08    0.000000e+00
    1.908101e+08    0.000000e+00
    1.935021e+08    0.000000e+00
    1.962321e+08    0.000000e+00
    1.990006e+08    0.000000e+00
    2.000000e+08    0.000000e+00
