eV	Coeff1	Coeff2	Coeff3	Coeff4	Coeff5	Coeff6
6800000.0	-0.00656604	-0.0002844301	-5.366896e-05	4.544422e-06	7.474116e-08	6.70288e-09
7000000.0	-0.006830292	-0.0002775308	-5.796242e-05	5.163256e-06	8.705515e-08	8.097399e-09
7500000.0	-0.007490297	-0.0002501897	-6.949561e-05	6.98973e-06	1.249091e-07	1.26952e-08
8000000.0	-0.008145803	-0.0002072477	-8.217097e-05	9.26606e-06	1.746083e-07	1.932885e-08
8500000.0	-0.008792596	-0.0001472998	-9.598586e-05	1.205849e-05	2.385068e-07	2.867912e-08
9000000.0	-0.009426801	-6.902659e-05	-0.0001109361	1.543614e-05	3.191329e-07	4.158916e-08
9500000.0	-0.01004487	2.880446e-05	-0.0001270177	1.94704e-05	4.191518e-07	5.908902e-08
10000000.0	-0.01064356	0.0001473377	-0.0001442281	2.423436e-05	5.413201e-07	8.242175e-08
10500000.0	-0.01121995	0.0002876282	-0.0001625681	2.980216e-05	6.884312e-07	1.13071e-07
11000000.0	-0.01177142	0.0004506402	-0.0001820425	3.624842e-05	8.632534e-07	1.527899e-07
11500000.0	-0.01229564	0.0006372463	-0.000202662	4.364756e-05	1.06846e-06	2.036315e-07
12000000.0	-0.01279057	0.0008482258	-0.0002244438	5.207324e-05	1.306554e-06	2.679803e-07
12500000.0	-0.01325446	0.001084264	-0.0002474127	6.159778e-05	1.579782e-06	3.485844e-07
13000000.0	-0.01368587	0.001345951	-0.0002716015	7.229158e-05	1.89005e-06	4.485896e-07
13500000.0	-0.0140836	0.001633782	-0.0002970518	8.422266e-05	2.23883e-06	5.715733e-07
14000000.0	-0.01444675	0.001948155	-0.0003238143	9.745618e-05	2.627058e-06	7.215796e-07
14500000.0	-0.0147747	0.002289372	-0.0003519488	0.0001120541	3.055044e-06	9.031553e-07
15000000.0	-0.01506708	0.00265764	-0.0003815239	0.0001280747	3.522365e-06	1.121386e-06
15500000.0	-0.01532378	0.00305307	-0.0004126174	0.0001455727	4.027769e-06	1.381933e-06
16000000.0	-0.01554496	0.003475677	-0.000445315	0.0001645984	4.56907e-06	1.69107e-06
16500000.0	-0.01573101	0.003925383	-0.0004797104	0.0001851985	5.143058e-06	2.05572e-06
17000000.0	-0.01588255	0.004402021	-0.0005159036	0.0002074152	5.745397e-06	2.483493e-06
17500000.0	-0.01600045	0.00490533	-0.0005540007	0.0002312868	6.370542e-06	2.982727e-06
18000000.0	-0.01608578	0.005434964	-0.0005941119	0.0002568478	7.011651e-06	3.562518e-06
18500000.0	-0.01613981	0.005990493	-0.0006363509	0.000284129	7.660509e-06	4.232764e-06
19000000.0	-0.01616401	0.006571401	-0.0006808325	0.0003131579	8.30746e-06	5.004201e-06
19500000.0	-0.01616003	0.0071771	-0.0007276719	0.0003439591	8.941345e-06	5.888439e-06
20000000.0	-0.01612968	0.007806923	-0.000776982	0.000376555	9.549454e-06	6.898001e-06
